;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Modbus Mode;RTU / TCP (TCP ab FW-V1.1.1);;;;;;;;;;;;;
;Baudrate;9600;;;;;;;;;;;;;
;Daten-Bits;8;;;;;;;;;;;;;
;Parität;Even;;;;;;;;;;;;;
;Stop Bit;1;;;;;;;;;;;;;
;Modbus Adresse:;10;;;;;;;;;;;;;
;Registerreihenfolge;High-Word/Low-Word;;;;;;;;;;;;;
;Byte-Reihenfolge;High-Byte/Low-Byte;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Modbus Code;BIT/;Parameter;Zugriff Lesen;Zugriff Schreiben ModBus RTU;Zugriff Schreiben ModBus TCP;Anazahl;Datentyp;Roh-;Roh-;IST-;IST-;Format;Kommentar;
;(dezimal);Wert;;;;;Werte;;Min Wert ;Max Wert;Min Wert ;Max Wert;;;
;;;Einstellung Grundeinstellung;;;;;;;;;;;;
;100;;Datum - Jahr;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;2015;2100;2015;2100;JJJJ;Jahr;
;101;;Datum - Monat;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;1;12;1;12;MM;Monat;
;102;;Datum - Tag;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;1;31;1;31;TT;Tag;
;103;;Uhrzeit - Stunde;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;23;0;23;SS;Stunde;
;104;;Uhrzeit - Minute;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;59;0;59;mm;Minute;
;105;;Uhrzeit Sekunde;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;59;0;59;ss;Sekunde;
;106;;Lüfterstufe Aus sperren;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;1;0;1;;"0=Aus möglich; 1=Aus gesperrt";
;107;;Verriegerlung BDE;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;1;0;1;;"0=nicht verriegelt; 1=verriegelt";
;108;;Sprache;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;3;0;3;;"0=deutsch; 1=englisch; 2=französisch; 3= italienisch";
;109;;Raumtempauswahl;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;3;0;3;;"0=Komfort-BDE; 1=Extern; 2=Intern; 3= Bus";
;;;;;;;;;;;;;;;
;;;Einstellung Lüftung;;;;;;;;;;;;
;150;;Filterstand Gerätefilter;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;3;12;3 Monate;12 Monate;Monate;;
;151;;Filterstand Aussenfilter;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;3;18;3 Monate;18 Monate;Monate;;
;152;;Filterstand Raumfilter;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;1;6;1 Monat;6 Monate;Monate;;
;153;;Dauer Lüftungsstufe;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;5;90;5 min;90 min;Minute;;
;154;;Volumenstrom Reduzierte Lüftung;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;80*;300*;80 m³/h;300 m³/h;m³/h;* Grenzwerte sind vom Gerätetyp abhängig;
;155;;Volumenstrom Nennlüftung;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;80*;300*;80 m³/h;300 m³/h;m³/h;* Grenzwerte sind vom Gerätetyp abhängig;
