WS 75 K Mod-Bus-Parameterliste / 12.04.2021 / ab Geräte FW-Version V1.0.2;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Modbus Mode;RTU / TCP (TCP ab FW-V1.0.2);;;;;;;;;;;;;
;Baudrate;9600;;;;;;;;;;;;;
;Daten-Bits;8;;;;;;;;;;;;;
;Parität;Even;;;;;;;;;;;;;
;Stop Bit;1;;;;;;;;;;;;;
;Modbus Adresse:;10;;;;;;;;;;;;;
;Registerreihenfolge;High-Word/Low-Word;;;;;;;;;;;;;
;Byte-Reihenfolge;High-Byte/Low-Byte;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Modbus Code;BIT/;Parameter;Zugriff Lesen;Zugriff Schreiben ModBus RTU;Zugriff Schreiben ModBus TCP;Anazahl;Datentyp;Roh-;Roh-;IST-;IST-;Format;Kommentar;
;(dezimal);Wert;;;;;Werte;;Min Wert ;Max Wert;Min Wert ;Max Wert;;;
;;;Einstellung Grundeinstellung;;;;;;;;;;;;
;106;;Lüfterstufe Aus sperren;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;1;0;1;;"0=Aus möglich; 1=Aus gesperrt";
;109;;Raumtempauswahl;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;1;0;1;;"0=intern; 1= Bus";
;;;;;;;;;;;;;;;
;;;Einstellung Lüftung;;;;;;;;;;;;
;150;;Filterstand Gerätefilter;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;3;12;3 Monate;12 Monate;Monate;;
;151;;Filterstand Aussenfilter;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;3;18;3 Monate;18 Monate;Monate;;
;152;;Filterstand Raumfilter;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;1;6;1 Monat;6 Monate;Monate;;
;153;;Dauer Lüftungsstufe;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;5;90;5 min;90 min;Minute;;
;154;;Volumenstrom Reduzierte Lüftung;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;25*;75*;35 m³/h;75 m³/h;m³/h;* Grenzwerte sind vom Gerätetyp abhängig;
;155;;Volumenstrom Nennlüftung;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;25*;75*;45 m³/h;75 m³/h;m³/h;* Grenzwerte sind vom Gerätetyp abhängig;
;156;;Volumenstrom Intensivlüftung;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;25*;75*;55 m³/h;75 m³/h;m³/h;* Grenzwerte sind vom Gerätetyp abhängig;
;157;;Filterwechsel Gerätefilter;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;1;0;1;;1= Filter gewechselt;
;158;;Filterwechsel Außenfilter;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;1;0;1;;1= Filter gewechselt;
;159;;Filterwechsel Raumfilter;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;0;1;0;1;;1= Filter gewechselt;
;160;;Dauer Einschlaffunktion;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;unsigned 16 Bit;5;90;5 min;90 min;Minute;;
;;;;;;;;;;;;;;;
;;;Einstellung Temperatur;;;;;;;;;;;;
;300;;Abgleich Raumtemperatur;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;signed 16 Bit;-30;30;-3°C;3°C;Temperatur * 10 (°C);Schrittweite 1 (= 0,1°C);
;301;;T-Zuluft min. kühlen;03-Read Holding Register(4x);06-Write Single Register;16-Write Multiple Register;1;signed 16 Bit;8;29;8°C;29°C;°C;Schrittweite 1 (= 0,1°C);
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;EnOcean;;;;;;;;;;;;
;350;;EnOcean Funksensor Typ CO2 an ID0;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;351;;EnOcean Funksensor Typ CO2 an ID1;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;352;;EnOcean Funksensor Typ CO2 an ID2;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;353;;EnOcean Funksensor Typ CO2 an ID3;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;354;;EnOcean Funksensor Typ CO2 an ID4;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;355;;EnOcean Funksensor Typ CO2 an ID5;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;356;;EnOcean Funksensor Typ CO2 an ID6;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;357;;EnOcean Funksensor Typ CO2 an ID7;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;358;;EnOcean Funksensor Typ rF an ID0;03-Read Holding Register(4x);-;-;1;uint16;0;1000;0;100;% r.F.;;
;359;;EnOcean Funksensor Typ rF an ID1;03-Read Holding Register(4x);-;-;1;uint16;0;1000;0;100;% r.F.;;
;360;;EnOcean Funksensor Typ rF an ID2;03-Read Holding Register(4x);-;-;1;uint16;0;1000;0;100;% r.F.;;
;361;;EnOcean Funksensor Typ rF an ID3;03-Read Holding Register(4x);-;-;1;uint16;0;1000;0;100;% r.F.;;
;362;;EnOcean Funksensor Typ rF an ID4;03-Read Holding Register(4x);-;-;1;uint16;0;1000;0;100;% r.F.;;
;363;;EnOcean Funksensor Typ rF an ID5;03-Read Holding Register(4x);-;-;1;uint16;0;1000;0;100;% r.F.;;
;364;;EnOcean Funksensor Typ rF an ID6;03-Read Holding Register(4x);-;-;1;uint16;0;1000;0;100;% r.F.;;
;365;;EnOcean Funksensor Typ rF an ID7;03-Read Holding Register(4x);-;-;1;uint16;0;1000;0;100;% r.F.;;
;366;;EnOcean Funksensor Typ VOC an ID0;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;367;;EnOcean Funksensor Typ VOC an ID1;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;368;;EnOcean Funksensor Typ VOC an ID2;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;369;;EnOcean Funksensor Typ VOC an ID3;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;370;;EnOcean Funksensor Typ VOC an ID4;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
;371;;EnOcean Funksensor Typ VOC an ID5;03-Read Holding Register(4x);-;-;1;uint16;0;50000;0;5000;ppm;;
